# Time-averaged data for fix 2
# TimeStep v_time c_thermo_temp c_thermo_press v_sysvol v_sysdensity v_cella v_cellb v_cellc v_etotal v_pe v_ke v_evdwl v_coulomb v_sxx v_syy v_szz v_syz v_sxz v_sxy v_xhi v_yhi v_zhi v_xlo v_ylo v_zlo
1000 501 298.145 4.59544 1.06329e+06 0.0100077 21.9896 21.9896 2198.96 1966.37 1167.41 798.955 504.751 0 -6.07296 -3.43283 -4.28054 -0.329497 -0.396822 0.0324124 21.9896 21.9896 2198.96 0 0 0
2000 1501 310.298 1.08361 1.01713e+06 0.0104618 21.9896 21.9896 2103.5 2081.32 1249.8 831.519 513.249 0 -3.35552 0.298171 -0.193495 -0.52339 0.084943 -0.39657 21.9896 21.9896 2151.23 0 0 47.7284
3000 2501 302.961 4.44977 972978 0.0109366 21.9896 21.9896 2012.19 2075.56 1263.7 811.86 514.912 0 -5.63222 -4.48806 -3.22904 0.394489 0.144896 -0.289823 21.9896 21.9896 2105.57 0 0 93.385
4000 3501 304.121 -0.303153 930741 0.0114329 21.9896 21.9896 1924.84 2106.84 1291.87 814.967 514.27 0 -0.478749 1.11821 0.269997 -0.874465 -0.660565 -0.685634 21.9896 21.9896 2061.9 0 0 137.06
5000 4501 307.229 2.3804 890338 0.0119517 21.9896 21.9896 1841.28 2143.96 1320.66 823.295 516.055 0 -4.16777 -2.14283 -0.830602 0.0145924 -0.320632 -0.110191 21.9896 21.9896 2020.12 0 0 178.838
6000 5501 305.557 0.065362 851688 0.0124941 21.9896 21.9896 1761.35 2152.24 1333.43 818.816 512.858 0 -1.18124 0.0279562 0.957197 0.149112 -0.580313 -0.554398 21.9896 21.9896 1980.16 0 0 218.803
7000 6501 305.782 -0.79802 814716 0.0130611 21.9896 21.9896 1684.89 2166.44 1347.02 819.418 512.578 0 0.674697 0.918023 0.801341 -0.478288 0.903356 0.248134 21.9896 21.9896 1941.93 0 0 257.034
8000 7501 304.507 1.08567 779350 0.0136538 21.9896 21.9896 1611.75 2162.77 1346.77 816.003 508.969 0 -1.42196 -1.34978 -0.485279 0.790097 -0.652011 -0.931429 21.9896 21.9896 1905.36 0 0 293.604
9000 8501 308.309 -2.27091 745518 0.0142734 21.9896 21.9896 1541.78 2188.86 1362.67 826.19 505.01 0 -0.12391 2.3853 4.55134 -0.352129 -0.224523 0.0150932 21.9896 21.9896 1870.37 0 0 328.587
10000 9501 303.74 1.08495 713155 0.0149211 21.9896 21.9896 1474.86 2168.6 1354.65 813.947 501.008 0 -0.872387 -0.942468 -1.43998 -0.6923 0.343315 0.465271 21.9896 21.9896 1836.91 0 0 362.052
11000 10501 303.139 -2.28515 682197 0.0155982 21.9896 21.9896 1410.83 2168.97 1356.63 812.335 500.715 0 0.645538 1.72618 4.48374 -0.257978 0.284988 -0.172434 21.9896 21.9896 1804.9 0 0 394.063
12000 11501 307.299 -2.12866 652583 0.0163061 21.9896 21.9896 1349.59 2195.84 1372.36 823.484 500.43 0 2.34204 1.73717 2.30676 0.804176 0.46781 -0.819581 21.9896 21.9896 1774.27 0 0 424.686
13000 12501 301.615 0.89898 624254 0.0170461 21.9896 21.9896 1291 2142.58 1334.33 808.253 482.119 0 -0.909158 -1.05901 -0.728768 0.15218 -0.588756 0.864885 21.9896 21.9896 1744.98 0 0 453.978
14000 13501 304.538 -3.10578 597155 0.0178196 21.9896 21.9896 1234.96 2150.24 1334.15 816.085 474.42 0 1.84498 4.89412 2.57825 0.166278 0.365516 -1.93184 21.9896 21.9896 1716.96 0 0 482
15000 14501 306.079 -2.15366 571233 0.0186283 21.9896 21.9896 1181.35 2158.4 1338.19 820.214 470.501 0 0.983074 2.2143 3.26359 -0.582838 -0.823892 1.01558 21.9896 21.9896 1690.15 0 0 508.804
16000 15501 302.542 -0.987996 546436 0.0194736 21.9896 21.9896 1130.07 2123.78 1313.04 810.736 457.959 0 1.2466 -0.823156 2.54054 -0.673435 1.05938 -1.087 21.9896 21.9896 1664.51 0 0 534.446
17000 16501 306.89 -3.34791 522715 0.0203573 21.9896 21.9896 1081.01 2157.18 1334.8 822.387 461.877 0 2.84708 2.37055 4.82609 0.603622 -1.71782 1.15825 21.9896 21.9896 1639.99 0 0 558.974
18000 17501 303.283 -1.80056 500024 0.0212811 21.9896 21.9896 1034.08 2124.68 1311.96 812.722 448.896 0 0.529502 1.86976 3.00242 -0.507589 -0.721476 -0.0910286 21.9896 21.9896 1616.52 0 0 582.437
19000 18501 303.369 -2.09535 478318 0.0222469 21.9896 21.9896 989.195 2112.83 1299.87 812.953 443.141 0 2.15131 1.95109 2.18366 -1.21532 0.741958 -0.873924 21.9896 21.9896 1594.08 0 0 604.882
20000 19501 305.315 -2.03639 457554 0.0232564 21.9896 21.9896 946.254 2123.65 1305.48 818.167 441.241 0 2.34204 2.88423 0.882912 -1.78726 0.750534 1.10973 21.9896 21.9896 1572.61 0 0 626.353
21000 20501 305.266 -3.27848 437691 0.0243118 21.9896 21.9896 905.177 2125.96 1307.93 818.037 442.147 0 2.37042 0.553877 6.91115 -0.380985 -1.52921 -0.361911 21.9896 21.9896 1552.07 0 0 646.891
22000 21501 303.279 -2.98086 418691 0.0254151 21.9896 21.9896 865.884 2116.32 1303.6 812.712 440.97 0 2.77098 2.66049 3.5111 1.50118 2.06474 1.46542 21.9896 21.9896 1532.42 0 0 666.538
23000 22501 302.085 -2.70041 400516 0.0265684 21.9896 21.9896 828.295 2098.42 1288.9 809.511 433.814 0 3.38603 1.09057 3.62463 -1.39656 -1.02133 -1.30738 21.9896 21.9896 1513.63 0 0 685.332
24000 23501 305.666 -2.47291 383129 0.0277741 21.9896 21.9896 792.339 2125.11 1306 819.107 440.663 0 0.429823 2.44568 4.54324 1.57285 0.274021 0.272866 21.9896 21.9896 1495.65 0 0 703.31
25000 24501 301.933 -3.11001 366498 0.0290345 21.9896 21.9896 757.944 2115.54 1306.43 809.105 445.509 0 3.60151 3.60926 2.11924 -1.73054 -0.66692 -1.78511 21.9896 21.9896 1478.45 0 0 720.508
26000 25501 306.552 -3.50475 350588 0.0303521 21.9896 21.9896 725.041 2138.86 1317.38 821.483 446.129 0 3.6874 0.742403 6.08444 -1.81134 1.46288 0.746778 21.9896 21.9896 1462 0 0 736.959
27000 26501 303.756 -4.13861 335369 0.0317294 21.9896 21.9896 693.567 2116.58 1302.59 813.989 441.637 0 4.3751 4.92853 3.11218 1.67175 1.1948 2.50922 21.9896 21.9896 1446.26 0 0 752.696
