# Time-averaged data for fix 2
# TimeStep v_time c_thermo_temp c_thermo_press v_sysvol v_sysdensity v_cella v_cellb v_cellc v_etotal v_pe v_ke v_evdwl v_coulomb v_sxx v_syy v_szz v_syz v_sxz v_sxy v_xhi v_yhi v_zhi v_xlo v_ylo v_zlo
1000 501 298.165 4.56395 1.06329e+06 0.0100077 21.9896 21.9896 2198.96 1967.79 1168.78 799.008 504.878 0 -5.93028 -2.80873 -4.95283 -0.0897629 -0.254441 -0.682453 21.9896 21.9896 2198.96 0 0 0
2000 1501 307.152 1.54594 1.01713e+06 0.0104618 21.9896 21.9896 2103.5 2058.48 1235.39 823.09 512.184 0 -3.62327 -0.563845 -0.45069 -0.11413 -0.27704 -0.720693 21.9896 21.9896 2151.23 0 0 47.7284
3000 2501 303.192 3.81294 972978 0.0109366 21.9896 21.9896 2012.19 2070.3 1257.82 812.478 513.568 0 -5.20374 -3.1539 -3.08118 -0.559819 -0.0355805 0.316198 21.9896 21.9896 2105.57 0 0 93.385
4000 3501 303.861 0.500774 930741 0.0114329 21.9896 21.9896 1924.84 2099.1 1284.83 814.272 513.425 0 -1.02875 -0.712874 0.239299 -0.0369386 -0.305732 -0.799617 21.9896 21.9896 2061.9 0 0 137.06
5000 4501 308.23 2.00466 890338 0.0119517 21.9896 21.9896 1841.28 2148.63 1322.66 825.978 516.297 0 -3.87764 -1.0749 -1.06143 0.0331936 -0.0053296 -0.476483 21.9896 21.9896 2020.12 0 0 178.838
6000 5501 301.511 0.976216 851688 0.0124941 21.9896 21.9896 1761.35 2123.2 1315.23 807.974 511.962 0 -1.55818 -0.145025 -1.22544 -0.427503 -0.477788 -0.992071 21.9896 21.9896 1980.16 0 0 218.803
7000 6501 309.469 -0.843633 814716 0.0130611 21.9896 21.9896 1684.89 2186.23 1356.93 829.299 516.913 0 -0.549497 0.440904 2.63949 0.362302 -1.38217 0.19045 21.9896 21.9896 1941.93 0 0 257.034
8000 7501 307.583 0.546079 779350 0.0136538 21.9896 21.9896 1611.75 2178.89 1354.64 824.246 510.642 0 -1.85249 -0.00925922 0.223515 0.847469 0.615311 -0.331822 21.9896 21.9896 1905.36 0 0 293.604
9000 8501 305.877 -0.664119 745518 0.0142734 21.9896 21.9896 1541.78 2181.22 1361.55 819.674 510.089 0 -0.0792736 0.631097 1.44053 -0.229979 0.448986 0.0600947 21.9896 21.9896 1870.37 0 0 328.587
10000 9501 305.425 -1.06946 713155 0.0149211 21.9896 21.9896 1474.86 2183.26 1364.8 818.462 508.482 0 -0.0812372 1.06649 2.22312 0.0653504 0.107977 0.458725 21.9896 21.9896 1836.91 0 0 362.052
11000 10501 305.211 -0.699491 682197 0.0155982 21.9896 21.9896 1410.83 2175.71 1357.82 817.889 502.009 0 0.267464 0.0916527 1.73936 -0.285138 -0.0316842 -0.854272 21.9896 21.9896 1804.9 0 0 394.063
12000 11501 305.161 -1.63078 652583 0.0163061 21.9896 21.9896 1349.59 2172.26 1354.5 817.756 495.901 0 0.886111 1.85932 2.14689 -0.686799 -0.385939 0.855334 21.9896 21.9896 1774.27 0 0 424.686
13000 12501 307.201 -1.05273 624254 0.0170461 21.9896 21.9896 1291 2161.73 1338.51 823.222 480.651 0 -0.139473 1.3569 1.94076 0.55636 -1.32126 -1.10984 21.9896 21.9896 1744.98 0 0 453.978
14000 13501 306.883 -1.97989 597155 0.0178196 21.9896 21.9896 1234.96 2162.64 1340.27 822.368 479.367 0 2.16826 0.878704 2.89269 1.33615 -0.504901 -1.11976 21.9896 21.9896 1716.96 0 0 482
